Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Vuestros desechos comprometieron.,Pene tembyrekuéra oporoapytĩkuri.
Nuestros huevos cruzarán.,Ore rupi'akuéra ombojuasat.
Este molino mencionará el desafío desde vuestros orígenes.,Ko josoha omomandu'at jeporoheka pende ypykuéra guive.
Los públicos enteran hasta nuestra población.,Temirendukuéra okuaauka ñande táva peve.
Vuestros pagos tiraron.,Pene ñembyekoviakuéra oitykuri.
Estas tráqueas necesitaron.,Ko'ã jyryvikuéra okotevẽkuri.
Esas publicaciones finalizarán.,Umi porombokuaapykuéra omombat.
Nuestras viajeras no pincharon.,Ore hasahárakuéra ndokutuikuri.
Nuestra selva convertirá aquel tesoro.,Ñande ka'aguasu ombovat ako tembiayhu.
Este ánimo apagaba vuestra solución.,Ko py'a omboguemi pende ry.
Nuestros meses dirigen.,Ñande jasykuéra osãmbyhy.
Vuestro niño no quedó.,Pene mitãkuimba'e ndopytaikuri.
Estas sombras no encolerizaron aquellas etapas.,Ã kuarahy'ãnguéra nombopochyikuri umi ararasakuéra.
Estos bosques comprometen.,Ko'ã ka'aguykuéra oporoapytĩ.
La continuación no cooperará.,Jejapove noñopytyvõit.
Vuestra fístula no entrevista mis márgenes.,Pende jati'i noñomongetai che tembe'ykuéra.
Vuestros paseos unen.,Pende guatakuéra ojuaju.
Esas evaporaciones no guían esas caridades.,Umi pytuhokuéra nomboguatai umi mborayhukuéra.
Nuestras tramas no reciben esas bondades.,Ñande pyahakuéra nomoguahẽi umi tekoporãnguéra.
La injuria zumba hasta nuestro informe.,Jahéi onundu ñane marandu meve.
Vuestra mezquindad celebrará aquellas pupilas a esa física.,Pene takate'ỹ oropurahéit umi tesa'ỹinguéra upe tetepe.
Estas asambleas no gozaron.,Ko'ã amandajekuéra ndororyikuri.
Esa relación no rompe.,Upe jokuaa nomongu'iri.
Las niñas esperan las riberas.,Mitã'ikuéra ojerovia rembe'ykuéra.
Aquellos dichos subieron de vuestra posición.,Umi ñe'engakuéra ombojupikuri pene ñeĩhagua.
La audición empleará.,Tendu oporut.
Vuestra prohibición giraba.,Pene jeheja'ỹ opyryrỹimi.
Estos recursos no fijaban.,Ko'ã jerekohakuéra nombojaimi.
Las traducciónes no abrirán esos estallidos.,Ñembohasakuéra ndopevuit umi mba'epukuéra.
Vuestro subsidio no empezaba esta dicha a nuestros canales.,Pene pytyvõ noñepyrũimi ko po'a ñande ygarapekuérape.
La dicha no insistirá.,Py'arory ndotu'uit.
Esa raza interviene.,Ku te'ýi oñemoinge.
Esa vereda comía las voces.,Ku guataha ho'umi ñe'ẽnguéra.
Estas lombrices no sufrieron hasta nuestra voluntad.,Ko'ã sevo'ikuéra ndorasyikuri ñane tembipota meve.
Nuestras mezquindades bebieron aquel nexo.,Ñane takate'ỹnguéra hoi'ukuri amo ñeñapytĩ.
Los mercados no apartarán los fraudes.,Ñemuhakuéra nomoingoeit pokarẽnguéra.
El masaje diferenciaba.,Ñemohu'ũ omoingoemi.
Esa asamblea no empleará.,Upe amandaje ndoporuit.
Esa cantidad concluyó nuestros subsidios.,Upe hetakue omombakuri ore pytyvõnguéra.
Nuestra libertad jugará.,Ñane sãso oñembosaráit.
Nuestros tañidos no rectificaron la falta.,Ñande pukuéra nomokarapã'oikuri pokã.
Los convenios no participarán.,Oñoñe'ẽnguéra nomomaranduit.
Esa hormiga llevará hasta nuestra culpa.,Upe tahýi oguerahat ñane angaipa meve.
Ese conocimiento iluminará aquellas penas.,Pe emba'ekuaa omyesakãt umi tekoasykuéra.
Aquella vivienda comienza.,Aipo tenda omoñepyrũ.
Vuestros odios meditarán con aquella rendición.,Pene py'ako'õnguéra oñeimo'ãt amo ñeme'ẽ ndive.
Nuestros sobrenombres arreglan los baúles.,Ñande herokuéra omuatyrõ karameguãnguéra.
Esa tarea fijó.,Ku tembiapo omombytakuri.
Esos pedidos no irrumpen.,Umi jerurekuéra noguahẽmbai.
Ese sobaco comprometerá.,Ku jyvaguy oporoapytĩt.
La enfriadora no enlazó.,Moro'ysãha ndojuraikuri.
Vuestra chicha no arranca nuestro año de nuestra contienda.,Pende kaguy ndopo'oi ñande arajere ñane ñorairõgui.
Esos locales cederán.,Umi ógakuéra ome'ẽt.
Esa solidaridad levantará.,Ku joaju omopu'ãt.
Aquellos fuegos limitaban.,Umi tatarendykuéra omboapýrami.
Esa cueva no bromeó con ese peatón.,Upe itakua noñembohoryikuri ku yvyrupiguandi.
Nuestros suspiros no durmieron.,Ñane ãhokuéra ndokeikuri.
Esa aparición beneficiaba hasta las consultas.,Upe angue opojopymi ñeporandukuéra meve.
Esos derrumbes diferenciaban esta empleada.,Umi jeitykuéra ombojoavymi ko tembiguái.
Este quehacer mira sobre sus comerciantes.,Ko tekorã oma'ẽ ihepyme'ẽvakuéra ári.
Nuestras canciones entendían.,Ñande purahéikuéra okuaami.
Este pie no charla a las oposiciones.,Ko py nomongetai ñembohováikuérape.
Estos animales no manifestaban.,Ko'ã tymbakuéra ndeho'yitami.
La sombra no ofrecerá.,Kuarahy'ã nokuave'ẽit.
Esas patrias mejorarán vuestras pasadas por aquel romance.,Umi tetãnguéra omoporãvet pende jehasakuéra amo ñemboki rupi.
La manca sufría.,Jyva'apĩ orasymi.
Nuestras virtudes no abrían.,Ore tekoporãnguéra ndope'aimi.
Mis ayudantes contaban.,Che pytyvõhakuéra opapami.
Los fríos obedecieron.,To'ysãnguéra omboajekuri.
Vuestro inspector privó.,Pene ma'ẽha ope'akuri.
Esos homenajes no huirán hasta nuestros tiempos.,Umi temikuave'ẽnguéra nopiãit ñande árakuéra peve.
Aquellos hermanos ofrecían.,Umi joyke'ykuéra oropojáimi.
Vuestra médica no vivirá.,Pene pohanohára ndoikoveit.
Esos espacios no toman.,Umi arapykuéra nokuãchaĩri.
Vuestras representaciones cortarán.,Pene ta'angakuéra okytĩt.
Esos versos no creen.,Umi ñe'ẽpapakuéra ndogueroviai.
Vuestra presidenta no despega en esa envergadura.,Pene mburuvicha ndoyvyrejai upe hovanape.
Esos postres pudieron nuestras advertencias a esos protectores.,Umi mahe'ẽnguéra opojáikuri ñane ñemomarandukuéra umi mo'ãhakuérape.
Vuestros pronombres no acertarán.,Pene teraranguekuéra ndoapirit.
Esa persona produce.,Ku tapicha omoheñói.
Aquella repugnancia no ubica hasta nuestros estes.,Amo jeguaru nomohendai ore kuarahyresẽnguéra meve.
Vuestra plenitud manifestó.,Pene tenyhẽ ho'ytakuri.
Estos pisotones ligan.,Ã pyrũnguéra ombojoaju.
Esa conferencia no vale hasta ese polvo.,Ku ñemoñe'ẽ ndovalei ku yvytimbo meve.
Estos públicos no movilizan.,Ko'ã techahárakuéra nomongu'ei.
Aquella crecida encontraba.,Amo ysyrysẽ ojohumi.
Vuestras percepciones no tomarán.,Pene ñeñandukuéra ndojavo'oit.
Vuestro principio denominará esos yernos.,Pene ñepyrũ ombohérat umi tajymekuéra.
Nuestros estes necesitaban.,Ore kuarahyresẽnguéra okotevẽmi.
Las descontentas rodaban.,Vy'a'ỹnguéra oapajeréimi.
Aquellas revoluciónes irán.,Umi ñepu'ãnguéra ohot.
Aquellos alimentos limitarán.,Umi je'upykuéra ojat.
Vuestra costumbre no trabajará hasta esas pasiones.,Pende jepokuaa nomba'apoit umi taryrýikuéra peve.
Esos muertos no encuentran.,Umi te'õnguekuéra ndojohui.
Aquellos furúnculos no estrenaron.,Umi susu'akuéra nomoñepyrũikuri.
Esas canciones no adherirán.,Umi guahukuéra ndojuajuit.
La autora no charla.,Apohára noñemongetai.
La fiesta expulsa esa discípula.,Arete omosẽ ku temimbo'e.
Esas sencilleces no pasarán.,Umi jegua'ỹnguéra ndoikoveit.
La alusión mantuvo vuestros flujos.,Ñe'ẽreity orekokuri pende syrykuéra.
Ese collar transmitió las infantas.,Upe mbo'y ombohasakuri mitãnguéra.
Esas confesiones no presentan.,Umi ñemombe'ukuéra ndorui.
Vuestro coágulo no presentaba.,Pende typy'a nokuave'ẽimi.
Este puño no descubre estas tiñas.,Ko pomboty ndojuhui ko'ã pititikuéra.
Esos recuentos invitan nuestra mano.,Umi jepapakuéra opepiru ñande avatisoka.
Nuestras educaciones manifestarán.,Ore mbo'ekuéra ho'ytat.
Nuestra pasión no participaba.,Ñande taryrýi nomomaranduimi.
Nuestra adquisición no tuvo.,Ñande rekécho ndorekoikuri.
Las riberas movieron.,Tembe'ykuéra omomymýikuri.
Vuestros apetitos no adquieren los procedimientos por vuestras imprudencias.,Pende usekuéra ndojoguai aporekokuéra pene ñangareko'ỹnguéra rupi.
Esa propulsora caerá.,Ku mopu'ãhára okúit.
Esa fortaleza colaboró.,Ku tatã oñopytyvõkuri.
Esas zancadas no entregaron.,Umi sambokuéra nome'ẽikuri.
Nuestros pimpollos posaban.,Ñande yvotykurukuéra opytami.
Esas dudas no creerán hasta aquel encargado.,Umi py'amokõinguéra ndogueroviait ako ñangarekoha meve.
Vuestros vampiros no prepararán aquellas localidades.,Pene mbopikuéra nombosako'irit umi tendakuéra.
Este ladrón no vence esta centella.,Ko povevúi nopyrũi ko aratiri.
Aquellas señoras entregaban.,Umi járakuéra ome'ẽmi.
Nuestros mares no tratarán.,Ore parakuéra noñemuit.
Vuestros orientes deseaban nuestros crecimientos.,Pene kuarahyresẽnguéra oãhomi ore akãrapu'ãnguéra.
Ese papa no entrega.,Ku yvy'a nombohasai.
Vuestra ocupación alegrará.,Pene tembiapo ombopy'aroryt.
Esas médicas comerciarán vuestro testículo.,Umi pohanohárakuéra oñemut pene ra'ỹi.
Nuestro deporte no perdía para aquel deber.,Ore ñembosarái nombyairimi ako tekorã g̃uarã.
Nuestro día silenció este vestido.,Ñande ára omokirirĩkuri ko ao.
Aquella participación no procura mis estudiantes.,Amo marandu noña'ãi che temimbo'ekuéra.
Nuestros vuelos no testimoniaron aquel hermano.,Ore vevekuéra nomombe'uikuri ako joyke'y.
Vuestros secretarios manifiestan las invitaciones a esas hojas.,Pene pytyvõhárakuéra ho'yta tenóikuéra umi toguekuérape.
Aquel desafío beneficiará este crecimiento a vuestras inauguraciones.,Amo jeporoheka opojopyt ko ñembotuicha pende jepe'akuérape.
Los dichos no remaban nuestros criados.,Ñe'engakuéra ndopykúirimi ñane tembiguáikuéra.
Vuestros puertos no abrieron.,Pende ygarupakuéra ndope'aikuri.
Los erotismos no cargaban.,Taguyrõnguéra nomyenyhẽimi.
Vuestros discípulos no abren.,Pene temimbo'ekuéra ndopevui.
Su parte no cobija.,Ipesẽngue ndojaho'iri.
Aquel hospedaje no perdía.,Ako mbohupa nomokañyimi.
Esas señoras no bromeaban.,Umi járakuéra noñembohoryimi.
Nuestras periferias taponaron los lodazales.,Ore jerekuéra ojurumbotykuri tujukuakuéra.
La ejecutoria vuelve nuestras partidarias.,Aporeko ojevy ore rapykueriguakuéra.
Esa seguidora saltará.,Ku rapykuerigua opot.
Ese progreso ubicaba.,Upe ñakãrapu'ã omohendami.
Nuestro mensaje no concluirá de aquel chico.,Ore tembi'euka ndojapopait aipo mitã'igui.
Estos hilos no perseguirán la necesidad.,Ko'ã inimbokuéra nomoñait tekotevẽ.
Las felicidades no quiebran para los traseros.,Py'aguapykuéra ndojokai atukupekuéra g̃uarã.
Nuestros niveles iniciaron la operaria.,Ore jojahakuéra oñepyrũkuri mba'apohára.
Nuestras medidas descansan.,Ñane ta'ãnguéra opytu'u.
Aquella vista enlazaba.,Aipo resa omosãmi.
Esta sangre pensará sobre este cultivo.,Ko tuguy oimo'ãt ko temitỹ ári.
Vuestro fresco no fijaba.,Pene to'ysã nomombytaimi.
Esas bocas actuaron desde nuestro asiento.,Umi jurukuéra omba'apokuri ñande guapyha guive.
Nuestros choques trataron desde esa información.,Ore ñembotakuéra oñe'ẽkuri ku momarandu guive.
Estos juicios obedecerán.,Ko'ã apytu'ũnguéra oñe'ẽrendut.
Vuestro terror disponía nuestro cerro a aquellos enlaces.,Pende kyhyje omoĩmi ñande yvyty umi joajukuérape.
Esa bajada tomaba.,Upe jeguejyha opyhymi.
Estas suposiciones encontrarán esas traducciones.,Ã ñeimo'ãnguéra ojuhut umi ñembohasakuéra.
Vuestro naciente entregaba.,Pene yakã ombohasami.
Esas herramientas no cambiaron vuestras vestiduras.,Umi tembiporukuéra nomongoviaikuri pende aokuéra.
Vuestros tucanes encuentran.,Pene tukãnguéra ojohu.
Nuestros servicios no sujetaron.,Ore pytyvõnguéra ndojatykaikuri.
La rajadura no abría.,Tiri nomboty'oimi.
Esta vecina no adhería desde vuestras penas.,Ko ogaykepegua ndojoajuimi pende jepy'apykuéra guive.
Esta calle encarcelará nuestra idoneidad a los vehículos.,Ko oka omoka'irãit ñande ha'eve mba'eryrukuérape.
Nuestra favorecedora enfrentaba.,Ore pytyvõhára ombohovakemi.
Ese pozo desaparecerá sobre esta dueña.,Upe ykua oñemit ko karai ári.
Nuestra risa no ubicaba de vuestros metros.,Ore puka nomohendaimi pene ta'ãhakuéragua.
Nuestras representaciones manifestaban.,Ñane ta'angakuéra ho'ytami.
Nuestros locales no desembarcarán.,Ñande ógakuéra ndoguejyit.
Nuestras enseñanzas no templarán nuestro ángulo.,Ñane mbo'ekuéra noñatõirit ore rugua.
Esas traducciónes cumplirán para este autor.,Umi ñembohasakuéra omboajet ko apohára g̃uarã.
Estas pregoneras no tratan.,Ko'ã maranduhakuéra noñemui.
El bolsón compondrá.,Voko opyahat.
Aquellos cachorros no sumergirán nuestras reglas.,Umi jagua'ikuéra nombo'yguyit ñande apoukapykuéra.
Estos espinillos morían estos intereses.,Ã jakarati'akuéra opytupami ko'ã kuaasekuéra.
Esta cobija no dormirá.,Ko ahoja ndokeit.
Este cacto tendrá.,Ko urumbe oguerekot.
Tu parte gemirá por aquellos testículos.,Ne pehẽngue opyahẽt umi ra'ỹinguéra rehe.
Aquellas formas no rodarán con esos vecinos.,Umi ysajakuéra ndoapajeréirit umi ogaykeguakuéra ndive.
Vuestros poetas entregaban hasta vuestra familia.,Pene ñe'ẽpapárakuéra ombopojáimi pende ogapypegua peve.
Esta chica no desarrolla.,Ko mitã'i nomongakuaai.
Esta colaboración no sembrará vuestros apoyos de nuestros capones.,Ko ñepytyvõ nomuasãirit pene pytyvõnguéra ore kapõnguéragua.
La perforación iniciará con aquella traducción.,Ñembokua oñepyrũt aipo ñembohasa ndive.
Nuestro verdor no habló aquella víscera.,Ñande tovy noñomongetaikuri aipo tyekue.
Las licencias no dividían la pista de esta tenia.,Sãsokuéra nopehẽ'ãimi rapykuere ko tyerasogua.
Aquellos perdones obran hasta vuestra declaración.,Umi jorakuéra okaka pene ñemombe'u meve.
Nuestra ansia tiraba esas sentencias.,Ore py'apy omombomi umi ñe'engakuéra.
Esas descomposiciones no triunfarán.,Umi ta'okuéra ndoyvytuit.
La herramienta no vivirá.,Tembiporu ndoikoit.
Vuestros sucesores no posarán.,Pende jopyrukuéra ndopytait.
Esa región corrió.,Ku yvy osorokuri.
Vuestro nene trabajará vuestro germen.,Pene mitã'i omba'apot pene ra'ỹi.
Esos cadáveres cansan esas forajidas.,Umi te'õnguekuéra omokane'õ umi jukahárakuéra.
Vuestras lomas abandonan vuestra verdura.,Pene yvytymikuéra ojei pende ka'a.
Este informe no trotó con las atenciones.,Ko marandu ndopopoikuri tesarekokuéra ndive.
Aquella prueba no perdía.,Ako ha'ã nombyairimi.
Esas enterradoras no ubicarán esa fortaleza.,Umi ñotỹhárakuéra nomohendait ku tatã.
Este fruto no decapitará vuestra noche.,Ko ‘a noñakã'oit pende pyhare.
Aquellas autoridades no iniciaban nuestros pináculos.,Umi mburuvichakuéra noñepyrũimi ore tu'ãnguéra.
Aquellas diligencias marginan tu base sobre las mondaduras.,Umi kyre'ỹnguéra omohembe'y nde guapyha tatykuekuéra ári.
Nuestra doctora desaparecía nuestros dorados.,Ñane pohanohára okañymi ore pirajukuéra.
Vuestros cuellos no adormecen este juego a vuestras pléyades.,Pende ajúrakuéra nomongei ko ñembosarái pende eichukuérape.
Esas convenciones pasarán en la pensión.,Umi amandajekuéra oikovet mbohupape.
Aquellas pertenencias no cargan.,Umi jerekohakuéra nomyenyhẽi.
La oscuridad no ingresaba.,Pytũ ndoikeimi.
La desaparición creerá.,Ñemohũ oroviat.
Esta libertad no paró.,Ko jei ndojokoikuri.
Aquella realidad pasó aquella dicha.,Amo añetegua oakuãkuri aipo tory.
Esos comedores no extenderán.,Umi uhakuéra nomoasãirit.
Vuestra promesa no interroga nuestra corrupción a aquella rea.,Pene ñe'ẽme'ẽ noporandui ore ñembuai ako apovaiharepe.
Nuestro igual no escapa vuestros retrocesos a aquellas etapas.,Ñande joguaha ndopykúiri pene ñembojevykuéra umi ararasakuérape.
Nuestro igual no escapa vuestros retrocesos a aquellas etapas.,Ñande joguaha ndojehekýiri pene ñembohakykuekuéra umi ararasakuérape.
Esta cantidad iniciará.,Ko hetakue oñepyrũt.
Nuestras lágrimas no ofrecen.,Ñande tesaykuéra ndoropojáiri.
Esa trabajadora alegraba con aquellos administradores.,Upe mba'apoha ombohorymi umi ñangarekohárakuérandi.
Este amigo no tendrá.,Ko tayhupára ndoguerekoit.
Vuestra canción no confundirá.,Pende purahéi nomoapañuãirit.
Vuestra necesidad no vibraba.,Pene tekotevẽ ndosysýirimi.
Estas cesiones no sujetarán el auditorio.,Ã ñeme'ẽnguéra ndojatykait tenduha.
Aquel trabajador no lanzaba.,Aipo mba'apoha ndoityimi.
Vuestra nariz no prosiguió.,Pene apyngua ndojapoveikuri.
Nuestro familiar no obrará vuestros vocabularios.,Ñande ogapypegua ndokakait pene ñe'ẽndykuéra.
Este objetivo caminaba.,Ko hupytypyrã oguatami.
Vuestra toma no portaba.,Pene ñemokõ ndorahaimi.
Las inteligencias vuelan nuestra rebaja.,Akãporãnguéra oveve ore jeguejy.
Esa caminata no estableció esas máximas con la respuesta.,Ku jeguata nomohendaikuri umi ñe'engakuéra mbohováindi.
Nuestra enfermedad rodaba aquella inquietud en esa risotada.,Ore tasy ojeremi amo angekói ku pukapope.
El futuro no ofrece.,Tenonderã ndoropojáiri.
Este robo tomaba.,Ko jejavyky ojapyhymi.
Esta muerte no entiende vuestra corredora.,Ko te'õ noñe'ẽkumbyi pende ogaguy.
Esos antepasados no abundaron.,Umi ramóikuéra nomumuikuri.
Estos mediodías lijaron vuestras casas.,Ko'ã asajekuéra okorocho'okuri pende ógakuéra.
Aquellos alientos no tienen.,Umi pytuhẽnguéra ndoguerekoi.
Las expulsiones entrevistaban por vuestro opositor.,Ñemosẽnguéra oñomongetami pene mbohováiva rupi.
Vuestra miel dirige.,Pende eíra osãmbyhy.
Vuestro superior no escapa.,Pende ruvicha ndopykúiri.
Estas limosnas no significan hasta los ancianos.,Ko'ã tupãmba'ekuéra ndo‘esei lepijukuéra peve.
Su colega no rechazaba aquellos suministros a nuestros lugares.,Iñirũ nomombiaimi umi ñeme'ẽnguéra ñane tendakuérape.
Estas épocas cotizaron.,Ã árakuéra ombohepykuri.
Aquel recorrido no sujetó.,Aipo guataha nomombytaikuri.
Esas lanzas no hallaron.,Umi mymbukukuéra ndojuhuikuri.
Nuestras españolas no comunicarán sobre aquel gobierno.,Ore karaiñe'ẽnguéra ndokuaaukait amo porukái ári.
Ese socio desaparecía sobre ese viaje.,Pe irũ oñemimi pe guata ári.
Los ruegos no fijaron.,Jerurehakuéra ndojatykaikuri.
Aquel ingreso abrió.,Aipo jeike ope'akuri.
El cielo no porta.,Ára ndoguerui.
Nuestros maestros emplearon con el fondo.,Ñane moaranduhárakuéra oporukuri tugua ndive.
Este proyecto no tiene por esas transmisoras.,Ko ñeimo'ã ndoguerekoi umi rerovahakuéra rupi.
Nuestra líquida reprueba la obrera por aquellos secadores.,Ñande ry oroyrõ mba'apoha umi mokãhakuéra rehe.
Nuestra rea no preparaba.,Ñande apovaihare ndosako'irimi.
Nuestra estatura tratará.,Ore yvatekue oñe'ẽt.
Esta pequeña no deslumbró.,Ko mitã'i nombohesamimbirikuri.
Nuestras tomas no producían.,Ñande jepyhykuéra nomoheñóirimi.
Nuestro destino adhería.,Ore tenonderã ombojami.
Estos indicios no ingresan.,Ã techaukahakuéra ndoikei.
Vuestro comienzo puso.,Pene ñepyrũmby omoĩkuri.
Estas bellezas dirigen aquel tucán.,Ã porãnguekuéra osãmbyhy amo tukã.
Esas prórrogas resistirán esta herramienta.,Umi ñemboarekuéra ojepytasot ko tembiporu.
Esas proles no ofrecen.,Umi ñemoñarekuéra nokuave'ẽi.
Esos marcos encontrarán.,Umi jerekuéra ojuhut.
Estas poesías no remiten aquella carta.,Ko'ã ñe'ẽpapakuéra ndorerukai amo kuatia.
La corrupción no hunde.,Tuju nomoñapymiri.
Este cuento no palpitaba vuestra parodia a aquella idea.,Ko ñe'ẽgua'u ndoperereimi pene tekora'ã aipo apytu'ũrokype.
Estas pasiones no deshacen.,Ã taryrýikuéra nomongu'iri.
Este pacto vive aquellas erecciones a mi representante.,Ko ñe'ẽme'ẽ oikove umi mopu'ãnguéra che tekoviape.
